Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,3.600000,3.770000,3.510000,3.760000,3.760000,164700
2022-01-25,3.760000,3.770000,3.690000,3.720000,3.720000,180000
2022-01-26,3.990000,4.080000,3.870000,3.980000,3.980000,403600
2022-01-27,4.160000,4.190000,4.100000,4.110000,4.110000,151300
2022-01-28,4.170000,4.240000,4.030000,4.120000,4.120000,59300
2022-01-31,4.100000,4.270000,4.100000,4.270000,4.270000,79300
2022-02-01,4.190000,4.200000,4.100000,4.130000,4.130000,173700
2022-02-02,4.220000,4.220000,4.130000,4.210000,4.210000,63700
2022-02-03,4.140000,4.250000,4.090000,4.120000,4.120000,93400
2022-02-04,4.170000,4.170000,3.970000,4.000000,4.000000,237700
2022-02-07,3.820000,3.850000,3.790000,3.790000,3.790000,129700
2022-02-08,3.790000,3.790000,3.640000,3.680000,3.680000,263300
2022-02-09,3.870000,3.870000,3.800000,3.830000,3.830000,171400
2022-02-10,3.680000,3.820000,3.680000,3.730000,3.730000,74600
2022-02-11,3.960000,3.960000,3.610000,3.670000,3.670000,127600
2022-02-14,3.630000,3.650000,3.600000,3.630000,3.630000,126100
2022-02-15,3.870000,3.970000,3.870000,3.930000,3.930000,301900
2022-02-16,4.050000,4.050000,3.780000,3.870000,3.870000,49100
2022-02-17,4.050000,4.050000,3.780000,3.790000,3.790000,232600
2022-02-18,3.870000,3.870000,3.630000,3.630000,3.630000,32000
2022-02-22,3.750000,3.830000,3.610000,3.640000,3.640000,57100
2022-02-23,3.700000,3.770000,3.610000,3.610000,3.610000,200200
2022-02-24,3.810000,4.100000,3.810000,4.070000,4.070000,213700
2022-02-25,4.020000,4.190000,4.010000,4.070000,4.070000,74400
2022-02-28,4.580000,4.640000,4.500000,4.550000,4.550000,263800
2022-03-01,4.600000,4.600000,4.230000,4.310000,4.310000,179500
2022-03-02,4.250000,4.340000,4.170000,4.260000,4.260000,95500
2022-03-03,4.170000,4.170000,3.810000,3.830000,3.830000,157200
2022-03-04,3.820000,3.820000,3.650000,3.700000,3.700000,59900
2022-03-07,3.980000,3.990000,3.830000,3.890000,3.890000,285600
2022-03-08,4.230000,4.500000,4.180000,4.350000,4.350000,457300
2022-03-09,4.190000,4.410000,4.140000,4.200000,4.200000,173300
2022-03-10,4.150000,4.150000,3.960000,4.040000,4.040000,68200
2022-03-11,4.460000,4.460000,4.060000,4.080000,4.080000,26800
2022-03-14,4.050000,4.090000,3.980000,4.030000,4.030000,63200
2022-03-15,4.070000,4.070000,3.890000,3.940000,3.940000,94600
2022-03-16,4.050000,4.050000,3.990000,4.030000,4.030000,21500
2022-03-17,4.200000,4.200000,3.940000,4.000000,4.000000,33600
2022-03-18,3.830000,4.030000,3.830000,4.020000,4.020000,81000
2022-03-21,3.920000,3.940000,3.860000,3.880000,3.880000,68500
2022-03-22,3.810000,3.920000,3.810000,3.860000,3.860000,120000
2022-03-23,3.730000,3.830000,3.680000,3.700000,3.700000,62000
2022-03-24,3.650000,3.690000,3.650000,3.680000,3.680000,44300
2022-03-25,3.690000,3.690000,3.400000,3.430000,3.430000,148000
2022-03-28,3.400000,3.540000,3.320000,3.400000,3.400000,105400
2022-03-29,3.450000,3.490000,3.430000,3.460000,3.460000,191300
2022-03-30,3.580000,3.620000,3.530000,3.550000,3.550000,83200
2022-03-31,3.550000,3.550000,3.470000,3.510000,3.510000,93700
2022-04-01,3.500000,3.520000,3.450000,3.500000,3.500000,32700
2022-04-04,3.430000,3.470000,3.420000,3.470000,3.470000,69600
2022-04-05,3.760000,3.770000,3.630000,3.680000,3.680000,133000
2022-04-06,3.560000,3.570000,3.410000,3.480000,3.480000,143400
2022-04-07,3.410000,3.450000,3.370000,3.420000,3.420000,200100
2022-04-08,3.460000,3.480000,3.420000,3.430000,3.430000,74900
2022-04-11,3.430000,3.440000,3.370000,3.370000,3.370000,107300
2022-04-12,3.300000,3.490000,3.270000,3.280000,3.280000,233300
2022-04-13,3.260000,3.260000,3.180000,3.260000,3.260000,53300
2022-04-14,3.210000,3.230000,3.160000,3.160000,3.160000,81600
2022-04-18,3.000000,3.200000,3.000000,3.140000,3.140000,49700
2022-04-19,3.200000,3.300000,3.200000,3.280000,3.280000,430500
2022-04-20,3.420000,3.470000,3.350000,3.350000,3.350000,161500
2022-04-21,3.420000,3.420000,3.290000,3.300000,3.300000,78700
2022-04-22,3.250000,3.350000,3.200000,3.200000,3.200000,71300
2022-04-25,3.420000,3.420000,3.240000,3.300000,3.300000,60400
2022-04-26,3.250000,3.250000,3.040000,3.050000,3.050000,615300
2022-04-27,3.070000,3.120000,3.070000,3.090000,3.090000,213100
2022-04-28,3.100000,3.140000,3.040000,3.120000,3.120000,149600
2022-04-29,3.160000,3.190000,3.120000,3.120000,3.120000,53200
2022-05-02,3.010000,3.090000,3.000000,3.080000,3.080000,76500
2022-05-03,3.310000,3.310000,3.150000,3.210000,3.210000,222600
2022-05-04,3.210000,3.280000,3.130000,3.280000,3.280000,81000
2022-05-05,3.190000,3.190000,2.870000,2.890000,2.890000,239700
2022-05-06,3.000000,3.000000,2.860000,2.900000,2.900000,115200
2022-05-09,2.750000,2.830000,2.700000,2.710000,2.710000,87000
2022-05-10,2.710000,2.730000,2.650000,2.690000,2.690000,303300
2022-05-11,2.690000,2.810000,2.680000,2.680000,2.680000,199600
2022-05-12,2.610000,2.700000,2.600000,2.670000,2.670000,87100
2022-05-13,2.700000,2.750000,2.680000,2.710000,2.710000,70300
2022-05-16,2.740000,2.760000,2.710000,2.760000,2.760000,80900
2022-05-17,2.800000,2.960000,2.750000,2.940000,2.940000,335000
2022-05-18,3.320000,3.350000,3.230000,3.230000,3.230000,320400
2022-05-19,3.430000,3.500000,3.420000,3.430000,3.430000,463600
2022-05-20,3.450000,3.490000,3.450000,3.480000,3.480000,294800
